A government affidavit in 2006 stated that the leak	<UNKNOWN>	"558,125 injuries , including 38,478 temporary partial injuries and approximately 3,900 severely and permanently disabling injuries ."	2
The Indian government and local activists argue that slack management and deferred maintenance created a situation where routine pipe maintenance	<UNKNOWN>	a backflow of water into a MIC tank triggering the disaster .	2
The UCIL factory was	<UNKNOWN>	1969 to produce the pesticide Sevin ( UCC 's brand name for carbaryl ) using methyl isocyanate ( MIC ) as an intermediate .	0
"In a panic , he removed his mask , inhaling a large amount of phosgene gas"	<UNKNOWN>	his death 72 hours later .	2
"In August 1982 , a chemical engineer came into contact with liquid MIC ,"	<UNKNOWN>	burns over 30 percent of his body .	2
Medical staff were unprepared	<UNKNOWN>	the thousands of casualties .	0
"170,000 people were treated at hospitals"	<UNKNOWN>	"temporary dispensaries ; 2,000 buffalo , goats , and other animals were collected and buried ."	0
"Despite safety precautions such as having water carrying helicopters continually overflying the plant , this"	<UNKNOWN>	a second mass evacuation from Bhopal .	2
This move blocked plaintiffs ' motions for class certification	<UNKNOWN>	claims for property damages and remediation .	0
A government affidavit in 2006 stated the leak	<UNKNOWN>	"558,125 injuries including 38,478 temporary partial injuries and approximately 3,900 severely and permanently disabling injuries ."	1
152 of the planned 200 work sheds were built	<UNKNOWN>	"2000 , 16 were partially functioning ."	0
"The government also planned 2,486 flats in two -"	<UNKNOWN>	four-story buildings in what is called the `` widow 's colony '' outside Bhopal .	0
"The final compensation , including interim relief"	<UNKNOWN>	personal injury was for the majority .	0
The `` Corporate Negligence '' point of view argues that the disaster was	<UNKNOWN>	"a potent combination of under-maintained and decaying facilities , a weak attitude towards safety , and an undertrained workforce , culminating in worker actions that inadvertently enabled water to penetrate the MIC tanks in the absence of properly working safeguards ."	1
"Factors cited include the filling of the MIC tanks beyond recommended levels , poor maintenance after the plant ceased MIC production at the end of 1984 , allowing several safety systems to be inoperable"	<UNKNOWN>	"poor maintenance , and switching off safety systems to save money -- including the MIC tank refrigeration system which could have mitigated the disaster severity , and non-existent catastrophe plans ."	1
Kurzman argues that `` cuts ... meant less stringent quality control	<UNKNOWN>	thus looser safety rules .	0
The factory was not well equipped to handle the gas	<UNKNOWN>	the sudden addition of water to the MIC tank .	1
"In addition to it , carbon steel valves were used at the factory , even though they were known to corrode"	<UNKNOWN>	exposed to acid .	1
"Now owned by Dow Chemical Company , Union Carbide maintains a website dedicated to the tragedy and claims that the incident was"	<UNKNOWN>	"sabotage , stating that sufficient safety systems were in place and operative to prevent the intrusion of water ."	1
This water was diverted	<UNKNOWN>	"a combination of improper maintenance , leaking and clogging , and eventually ended up in the MIC storage tank ."	1
"The corporation denied the claim that the valves on the tank were malfunctioning ,"	<UNKNOWN>	claimed that the documented evidence gathered after the incident showed that the valve close to the plant 's water-washing operation was closed and was leak-tight .	0
